afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong
Share your fear	Look closely at them	Point out problems	Ask "Why?"	Forget	Talk about your desires	Laugh together	Let go	Let the pain radiate	Let it go	Make eye contact	Look past them	Praise them	Open your eyes wider	Center yourself	Affirm them	Share a moment of sadness	Let go of fears
Glance around to stay aware	Wonder	Contradict	Give them a quizzical look	Lower your voice	Indulge your fantasies	Bounce in your seat	Slump in your seat	Push back	Nod	Ask "How does that make you feel?"	Sigh	Compliment	Relax your posture	Invite them in	Encourage	Remember	Go where you haven't before
Don't let your guard down	Ask a follow-up question	Express dissatisfaction with something they're saying	Raise your eyebrows	Retreat into yourself	Daydream about being someone else	Sway with the music	Think about all the times you couldn't do enough	Clench your jaw	Count the spots on the wall	Imagine more possibilities for what they're saying	Furrow your brow	Affirm	Release your grip	Let the conversation wash over you	Breathe deeply	Let yourself go down there	Ask a real question
Doubt what you're being told	Say whatever is on your mind!	Disagree	Consider the opposite of what you're discussing	Let go	Talk about what you don't have	Let go	Talk about the things you can't control	Stiffen your back	Look past them	Push them further	Tilt your head back	Be patient	Give in	Rock softly back and forth	Sit up straighter	Don’t look them in their eyes. If you do you’ll start crying.	Hold space
Don't trust this	Don't hold back	Speak in a measured tone	Ask "What if?"	Turn away	Admire	Let them know you are happy to be here	Consider the scale of the world	Take it personally	Daydream	Clarify	Back away	Appreciate them	Accept	Self soothe	Imagine the best possible outcome for this conversation	Whisper ‘please don’t leave’	Maintain energy
Consider what could go wrong	Embrace your feelings	Grip your armrests tightly	Shake your head	Reflect on your worst memory	Look at them in disgust.	Mention something you appreciate about them	Remember COVID-19	Imagine their words bouncing against your body	Let your mind wander	Encourage	Don't let them too close	Appreciate this time	Affirm what they're saying	Feel the ground beneath you	Keep this going	Whisper ‘I’m afraid I’ll scatter’.	Repeat yourself
Worry	Agree emphatically	Clench your fingers	Look around the room	Embrace the grayness	Shake your head and say ‘It’s not right’	Compliment them	Imagine slowly falling	Ignore them	Forget what they said	Animate your face	Take a hard look	Uncross your arms	Imagine you are meeting each other for the first time	Notice the seat you're sitting in	Recognize their support	Try to hide your worry.	Strengthen your position
Breath in and out rapidly	Hold eye contact	Stiffen your posture	Let the talking fade into the background	Shut down conversation	Wish you had what they have.	Encourage	Say "I don't know"	Distance yourself	Detach from emotion	Question	Roll your eyes.	Open your body	Look around	Look at them	Say, "Yes, and"	Keep your hands in your lap and look at them.	Double down
Keep looking behind you	Sit up straighter	Bristle	Float away	Question the point of this conversation	Think about killing them if they keep bragging.	Trust them	Apologize	Back away	Look away	Keep asking	Say 'ew'	Look at them	Smile	Look around you	Be as present as possible	Breathe shallowly.	Hold firm in your belief
Watch out	Relax	Shake your head in disbelief	Repeatedly change your mind	Lay down	Wish you were them.	Lean in	Mumble	Tell them "Be honest"	Tap your foot	Take this further	Tell them that you see right through them	Nod	Nod approvingly	Repeat a mantra	Hold onto this time together	Whisper ‘I don’t know what I need’	Challenge them
	Feel your body	Feel your body temperature rise	 	Rest your head	 	Hum a song in your head	 	Forget it	Play a song in your head	Repeat what they said back with more energy	Tell them that anyone could do their job	Engage	Shrug and laugh		Take it further	Remember another conversation you had that filled you up	Stop analyzing and tell them what you really think.
		Repeat yourself loudly	 	Slow your breathing	 	 	 	Let it go	Pretend you’re somewhere else.	Lean forward and gasp.	Disagree	 	 	 	Challenge them	Imagine you are talking to a good friend you are no longer in touch with	Tell them that you see through them and that it’s okay.
		Tell them, with your firmest voice, to stop.	 	Inhale without any feeling of satisfaction	 	 	 	Swallow your feelings	Lean back.	Tell them, ‘Wow, I didn’t know that.’	Tune them out	 	 	 	Show off	 	Ask for more
		Stare them right into their eyes without ever letting your stare drift.	 	Stop paying attention	 	 	 	 	Let your mind wander.	Ask them, ‘Isn’t that amazing?’	Question what they’re saying	 	 	 	Ignore all doubts	 	Inhale deeply
		Tell them that their behaviour is unacceptable.	 	Feel the distance between you	 	 	 	 	Change the subject.	 	Propose a better alternative	 	 	 	 	 	Tell them what you’ve been wanting
		Clench your fist.	 	 	 	 	 	 	Ask “how would you like me to respond?”	 	 	 	 	 	 	 	Believe everything you’re saying
		Clench your teeth.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
