afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong
Partage ta peur.	Regarde-les de près.	Signale les problèmes.	Demande "Pourquoi ?"	Oublie.	Parle de tes désirs.	Ris ensemble.	Affaisse-toi sur ton siège.	Laisse la douleur irradier.	Regarde au-delà d'eux.	Établis un contact visuel.	Regarde au-delà d'eux.	Félicite-les.	Ouvre davantage tes yeux.	Recentre-toi.	Affirme-les.	Partage un moment de tristesse.	Lâche prise des peurs.
Jette un coup d'œil autour de toi pour rester vigilant.	Émerveille-toi.	Contredis.	Regarde-les d'un air perplexe.	Baisse la voix.	Autorise-toi tes fantasmes.	Rebondis sur ton siège.	Pense à toutes les fois où tu n'as pas pu faire assez.	Résiste.	Rêvasse.	Demande "Comment est-ce que cela te fait sentir ?"	Soupire.	Complimente-les.	Détends ta posture.	Invite-les.	Encourage-les.	Souviens-toi.	Va là où tu n'es jamais allé(e) auparavant.
Ne baisse pas ta garde.	Pose une question de suivi.	Exprime ton insatisfaction avec quelque chose qu'ils disent.	Lève les sourcils.	Retire-toi en toi-même.	Rêve éveillé d'être quelqu'un d'autre.	Balance-toi avec la musique.	Parle des choses que tu ne peux pas contrôler.	Sers les dents.	Laisse ton esprit vagabonder.	Imagine plus de possibilités pour ce qu'ils disent.	Fronce les sourcils.	Affirme.	Lâche prise.	Laisse la conversation t'envelopper.	Respire profondément.	Laisse-toi descendre là.	Pose une vraie question.
Doute de ce qu'on te dit.	Dis ce qui te passe par la tête !	Désaccorde-toi.	Envisage le contraire de ce dont tu discutes.	Lâche prise.	Parle de ce que tu n'as pas.	Lâche prise.	Considère l'échelle du monde.	Raidis ton dos.	Oublie ce qu'ils ont dit.	Pousse-les plus loin.	Incline la tête en arrière.	Sois patient.	Cède.	Balance-toi doucement d'avant en arrière.	Redresse-toi.	Ne les regarde pas dans les yeux. Si tu le fais, tu commenceras à pleurer.	Maintiens l'espace.
Ne fais pas confiance à cela.	Ne te retiens pas.	Parle d'un ton mesuré.	Demande "Et si ?"	Détourne-toi.	Admire.	Fais-leur savoir que tu es heureux d'être ici.	Se souvient du COVID-19.	Prends ça personnellement.	Détache-toi de l'émotion.	Clarifie.	Recule.	Apprécie-les.	Accepte.	Apaise-toi.	Imagine le meilleur résultat possible pour cette conversation.	Chuchote "s'il te plaît, ne pars pas".	Conserve de l'énergie.
Envisage ce qui pourrait mal tourner.	Assume tes sentiments.	Agrippe fermement les accoudoirs.	Secoue la tête.	Réfléchis à ton pire souvenir.	Regarde-les avec dégoût.	Mentionne quelque chose que tu apprécies chez eux.	Imagine une chute lente.	Imagine leurs mots rebondissant contre ton corps.	Détourne le regard.	Encourage.	Ne les laisse pas trop près.	Apprécie ce moment.	Affirme ce qu'ils disent.	Sens le sol sous toi.	Poursuis sur cette lancée.	Chuchote "j'ai peur de me disperser".	Répète-toi.
Inquiète-toi.	Acquiesce avec emphase.	Sers les doigts.	Regarde autour de la pièce.	Embrasse la grisaille.	Secoue la tête et dis "Ce n'est pas juste".	Les complimente.	Dis "Je ne sais pas."	Ignore-les.	Tape du pied.	Anime ton visage.	Examine attentivement.	Décroise tes bras.	Imagine que vous vous rencontrez pour la première fois.	Remarque le siège sur lequel tu es assis.	Reconnais leur soutien.	Essaie de cacher ton inquiétude.	Renforce ta position.
Respire rapidement.	Maintiens le contact visuel.	Raidis ta posture.	Laisse la conversation s'estomper en arrière-plan.	Mets fin à la conversation.	Souhaite avoir ce qu'ils ont.	Encourage.	Excuse-toi.	Distance-toi.	Joue une chanson dans ta tête.	Questionne.	Roule des yeux.	Ouvre ton corps.	Regarde autour de vous.	Regarde-les.	Dis "Oui, et".	Garde tes mains sur tes genoux et regarde-les.	Persévère.
Continue à regarder derrière toi.	Assieds-toi plus droit.	Hérissé.	Flotte.	Interroge le sens de cette conversation.	Pense à les tuer s'ils continuent de se vanter.	Leur fais confiance.	Marmonne.	Recule.	Fais semblant d'être ailleurs.	Continue à demander.	Dis "beurk".	Regarde-les.	Souris.	Regarde autour de toi.	Sois aussi présent(e) que possible.	Respire superficiellement.	Reste ferme dans ta conviction.
Fais attention.	Détends-toi.	Secoue la tête d'incrédulité.	Change d'avis à plusieurs reprises.	Allonge-toi.	Souhaite être eux.	Penche-toi en avant.	Ne bouge pas d'un pouce.	Dis-leur "Sois honnête".	Incline-toi en arrière.	Approfondis cela.	Dis-leur que tu les vois clairement.	Acquiesce.	Acquiesce approbativement.	Répète un mantra.	Profite de ce moment ensemble.	Chuchote "je ne sais pas de quoi j'ai besoin".	Mets-les au défi.
Cherche la sortie.	Sens ton corps.	Sens ta température corporelle monter.	Oublie tes mots.	Repose ta tête.	Dis-leur qu'ils ont juste eu de la chance.	Fredonne une chanson dans ta tête.	Respire superficiellement.	Oublie.	Laisse ton esprit vagabonder.	Répète ce qu'ils ont dit avec plus d'énergie.	Dis-leur que n'importe qui pourrait faire leur travail.	Engage-toi.	Hausse les épaules et ris.	Porte attention à ta respiration.	Approfondis cela.	Rappelle-toi d'une autre conversation qui t'a comblé(e).	Arrête d'analyser et dis-leur ce que tu penses vraiment.
Ne fais pas attention.	Ose.	Répète-toi bruyamment.	Ce qu'ils te disent ne semble pas correct.	Ralentis ta respiration.	Dis "Ce qui monte doit redescendre".	Les remercie d'être ici.	Ferme les yeux et secoue la tête.	Laisse tomber.	Change de sujet.	Penche-toi en avant et pousse un cri.	Ne sois pas d'accord.	Sens ton cœur battre.	Dis-leur qu'ils sont intéressants.	Ralentis ta respiration.	Mets-les au défi.	Imagine-toi parler à un bon ami avec lequel tu n'es plus en contact.	Dis-leur que tu les comprends et que c'est okay.
Évite leur question.	Prends quelques respirations rapides mais profondes.	Dis-leur, d'une voix ferme, de s'arrêter.	Interroge-toi.	Inhale sans aucune sensation de satisfaction.	Regarde-les.	Leur dis que tu as des frissons.	Enlace tes genoux.	Avale tes sentiments.	Demande "comment aimerais-tu que je réponde ?"	Dis-leur, "wow, je ne savais pas ça."	Ignore-les.	Sens ta poitrine s'élargir.	Demande-leur s'ils aimeraient entendre ton histoire.	Dis "Je pense que nous tenons quelque chose".	Mets-toi en avant.	Échoue à ramasser tes morceaux.	Demande davantage.
Marmonne.	Ressens de l'aventure.	Fixe-les droit dans les yeux sans jamais détourner ton regard.	Perds le fil de tes pensées.	Cesse de prêter attention.	Fais semblant d'être heureux pour eux.	Ris nerveusement.	Chuchote "ne fais pas attention à moi".	Dis-leur "tu ne me vois même pas".	Ne leur accorde pas d'attention.	Demande-leur, "n'est-ce pas incroyable ?"	Remets en question ce qu'ils disent.	Prends-les.	Dis-leur que tu comprends.	Souris.	Ignore tous les doutes.	Cache ton visage.	Respire profondément.
Dis-leur d'arrêter de t'interroger.	Propose une aventure locale.	Dis-leur que leur comportement est inacceptable.	Regarde-les d'un air sceptique.	Ressens la distance entre vous.	Insulte-les.	Considère si tu es en train de tomber amoureux.	Chuchote que tu es désolé.	Cache tes cicatrices.	Soupire.	Prête attention aux nuances de leur voix.	Propose une meilleure alternative.	Dis-leur que tu es content qu'ils soient venus.	Entends ce qui se cache sous les mots.	Laisse-les entrer.	Dis "faisons-le".	Refuse de lâcher prise.	Dis-leur ce que tu as envie de dire.
Demande-leur pourquoi ils sont ici.	Oublie les règles.	Serre le poing.	Pose-leur la question à nouveau.	Ne fais aucun effort.	Complimente-les avec un faux sourire.	Dis "quelle journée !"	Leur dis de rester s'il te plaît.	Ferme ton cœur.	Réponds à autre chose.	Lis entre les lignes aussi.	Dis-leur qu'ils se ridiculisent.	Ressens leur gravité.	Vois ce qu'ils disent avec leur corps.	Réchauffe-les.	Ressens comment ils apportent de la lumière dans la conversation.	Sombrer.	Crois en tout ce que tu dis.
Ils posent trop de questions.	Dis-leur d'oublier les règles.	Serre les dents.	Demande-leur qui ils sont.	Entends tes propres mots de loin.	Ne les aime pas.	Les observe.	Pense à ce qu'il faudrait pour sauver le monde.	Cache ton visage.	Dis "peu importe".	Ne dérive jamais.	Élargis ta poitrine.	Ne détourne pas ton regard d'eux.	Prends cela en considération.	Accepte-les.	Sache que ça ne peut que s'améliorer.	Réalise que ce qui est perdu est perdu.	Parle comme si tu ouvrais la voie.
Évite le sujet.	Permets-toi de t'éloigner du sujet.	Détruis-les.	Oublie où tu es.	Réalise que ça ne s'améliorera pas.	Fais un effort pour être gentil.	Rayonne.	Se rappelle que ça va empirer beaucoup avant de s'améliorer.	Détourne le regard.	Sors ton téléphone.	Dis "wow !"	Redresse ton dos.	Caresse-les avec ton esprit.	Absorbe-les doucement.	Laisse tomber ton opinion.	Fredonne tout en souriant.	Souhaite que les choses soient différentes.	Ressens la vérité de ce que tu dis.
Ils voient à travers toi.	Pousse plus loin.	Ils ont tort. Tu as raison.	Dis "Attends une seconde..."	Vois comment vos réalités sont séparées.	Exagère ce que tu as.	Partage.	Réalise qu'ils ne parlent pas avec toi.	Chuchote qu'ils ne comprennent pas.	Demande de quoi ils parlent.	Acquiesce intensément.	Regarde-les de haut.	Dis "tout va bien".	Penche-toi en avant et repose ton menton dans ta main.	Ralentis.	Vois la lumière.	Tombe à genoux.	Admets tes défauts.
Prépare-toi à fuir.		Mordille ton poing.	Détourne le regard.	Détache-toi.	Sache ce que tu mérites.	Vois la solution.	Ouvre la bouche mais ne trouve pas les mots.	Ne leur réponds pas.	Dis "euh".	Demande-leur si c'est vraiment vrai.	Dis-leur d'écouter.	Perds tes mots.	Dis-leur que tu es là pour eux.	Enlève lentement tes chaussures.	Ressens leur lumière.	Demande pardon.	Reconnais leur réalité sans laisser cela affecter la tienne.
Acquiesce simplement pour être en sécurité.		Lève-toi et crie-leur.	Rougis.	Affaisse-toi.	 	Veux que ce moment dure.	 	Résiste à l'envie de partir.	Dis "je suppose".	Dis-leur que tu n'y avais pas pensé de cette façon auparavant.	Pointe du doigt avec ta main.	Attire-les doucement.	Pense à ce qu'ils ont dit.	Ressens avant d'agir.	Approfondis ta respiration.	Regrette.	Prends le contrôle.
Évite la confrontation.		Dis-leur : "Tu ne sais pas ce que j'ai vécu".	Disparais.	Fais semblant de ne pas être là.	 	T'attends à ce que ça devienne encore meilleur.	 	Dis-leur qu'ils devraient s'excuser.	Perds le fil.	 	Tape-toi sur la poitrine.	Étends-toi vers eux.	Interroge-toi à voix haute.	Expérimente avant tout.	 	Laisse ta tête retomber sur ta poitrine.	Sois comme la gravité.
Repense.		Dis-leur de se taire.	 	 	 	 	 	 	Ne les écoute pas.	 	Souris avec condescendance.	Ouvre-toi.	 	 	 	 	 
		Crie "Tu n'écoutes pas !"	 	 	 	 	 	 	Oublie ça.	 	 	Rapproche-toi.	 	 	 	 	 
		Dis-leur de s'asseoir.	 	 	 	 	 	 	 	 	 		 	 	 	 	 
		Dis-leur de montrer du respect.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
