BASE EMOTION	EMOTION	 BODY AREA	PERSON					
confused	embarrassed	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	lost	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	unsure	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	confounded	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
helpless	vulnerable	Ressentez à quel point le vide noir dans cette zone est profond.	Tu n'existes pas pour eux.					
helpless	alone	Ressentez le vide là-bas.	Ils ne peuvent pas te voir.					
helpless	distressed	Tout ce que vous trouvez dans cette zone est du gaspillage.	Ils ne veulent pas de ton aide. Ils ne veulent pas que tu sois là.					
helpless	helpless	Ressentez le vide là-bas.	Tu n'existes pas pour eux.					
helpless	disappointed	Tout ce que vous trouvez dans cette zone est du gaspillage.	Ils ne peuvent pas te voir.					
helpless	lonely	Ressentez à quel point le vide noir dans cette zone est profond.	Tu n'existes pas pour eux.					
helpless	paralyzed	Ressentez à quel point le vide noir dans cette zone est profond.	Tu n'existes pas pour eux.					
helpless	useless	Tout ce que vous trouvez dans cette zone est du gaspillage.	Ils ne veulent pas de ton aide. Ils ne veulent pas que tu sois là.					
indifferent	tired	Suivez cette zone alors qu'elle descend dans le sol.	Sens ta vision se brouiller alors que tu essaies de continuer à les écouter. Essaie de continuer à te soucier. Sens ton énergie se vider.					
indifferent	sluggish	Essayez de le ramasser du sol, ressentez son poids.	Sens tes yeux se fermer et tes épaules s'affaisser alors que tu essaies d'aller quelque part de nouveau avec eux. Cela semble impossible.					
indifferent	weary	Suivez cette zone alors qu'elle descend dans le sol.	Sens ta vision se brouiller alors que tu essaies de continuer à les écouter. Essaie de continuer à te soucier. Sens ton énergie se vider.					
indifferent	bored	Suivez cette zone alors qu'elle descend dans le sol.	Sens tes yeux se fermer et tes épaules s'affaisser alors que tu essaies d'aller quelque part de nouveau avec eux. Cela semble impossible.					
indifferent	indifferent	Ressentez cette zone vaciller à peine dans votre conscience, puis elle disparaît. Eh bien.	Laisse cette personne occuper ton esprit un moment puis laisse-la flotter. Vois comment tu peux jouer avec leur présence. Les ramener et les laisser partir.					
indifferent	uncaring	Ressentez cette zone vaciller à peine dans votre conscience, puis elle disparaît. Eh bien.	Sens ta vision se brouiller alors que tu essaies de continuer à les écouter. Essaie de continuer à te soucier. Sens ton énergie se vider.					
afraid	anxious	Ressentez comment cette zone a pris le dessus. Vous essayez de vous concentrer sur d'autres parties de votre corps, mais elle ne vous le permet pas. C'est comme regarder à travers un brouillard saccadé.	Considère comment les choses tournent mal avec eux.					
afraid	nervous	Pourquoi cette zone vous frappe-t-elle? Il doit y avoir quelque chose qui ne va pas.	Pourquoi sont-ils sans visage ? Tu essaies de t'éloigner mais tu ne peux pas. Ils se rapprochent.					
afraid	worried	Vous souhaitez que cette zone soit plus petite, moins remarquable. Tout le monde autour de vous peut-il le ressentir aussi?	La personne pointe quelque chose derrière toi. Tu te retournes et regardes. Il n'y a rien. Tu te retournes. Ils sont partis. Tu peux encore entendre leur voix.					
afraid	timid	Il n'y a pas de mouvement là. Les murs sont comme de la roche gelée, mais il n'est pas clair où ils commencent ou finissent.	Remarque à quel point ils semblent plus confiants. À quel point ils semblent avoir tout ensemble.					
afraid	wary	La zone est trop bruyante. Vous devez changer de focus. Vous essayez de suivre l'un des multiples chemins, vers une zone plus calme de votre corps. Il vous ramène toujours au même endroit. À chaque fois.	Tu cherches en eux une réassurance, mais ils confirment ton incertitude. Quelque chose ne va pas.					
afraid	defensive	Ressentez comment cette zone a pris le dessus. Vous essayez de vous concentrer sur d'autres parties de votre corps, mais elle ne vous le permet pas. C'est comme regarder à travers un brouillard saccadé.	Pourquoi sont-ils sans visage ? Tu essaies de t'éloigner mais tu ne peux pas. Ils se rapprochent.					
afraid	guarded	Pourquoi cette zone vous frappe-t-elle? Il doit y avoir quelque chose qui ne va pas.	La personne pointe quelque chose derrière toi. Tu te retournes et regardes. Il n'y a rien. Tu te retournes. Ils sont partis. Tu peux encore entendre leur voix.					
afraid	afraid	Vous souhaitez que cette zone soit plus petite, moins remarquable. Tout le monde autour de vous peut-il le ressentir aussi?	Remarque à quel point ils semblent plus confiants. À quel point ils semblent avoir tout ensemble.					
afraid	fearful	Il n'y a pas de mouvement là. Les murs sont comme de la roche gelée, mais il n'est pas clair où ils commencent ou finissent.	Tu cherches en eux une réassurance, mais ils confirment ton incertitude. Quelque chose ne va pas.					
afraid	alarmed	La zone est trop bruyante. Vous devez changer de focus. Vous essayez de suivre l'un des multiples chemins, vers une zone plus calme de votre corps. Il vous ramène toujours au même endroit. À chaque fois.	Considère comment les choses tournent mal avec eux.					
afraid	scared	Il n'y a pas de mouvement là. Les murs sont comme de la roche gelée, mais il n'est pas clair où ils commencent ou finissent.	Tu cherches en eux une réassurance, mais ils confirment ton incertitude. Quelque chose ne va pas.					
afraid	cowardly	La zone est trop bruyante. Vous devez changer de focus. Vous essayez de suivre l'un des multiples chemins, vers une zone plus calme de votre corps. Il vous ramène toujours au même endroit. À chaque fois.	Considère comment les choses tournent mal avec eux.					
afraid	insecure	Vous souhaitez que cette zone soit plus petite, moins remarquable. Tout le monde autour de vous peut-il le ressentir aussi?	Remarque à quel point ils semblent plus confiants. À quel point ils semblent avoir tout ensemble.					
afraid	troubled	Pourquoi cette zone vous frappe-t-elle? Il doit y avoir quelque chose qui ne va pas.	Tu cherches en eux une réassurance, mais ils confirment ton incertitude. Quelque chose ne va pas.					
afraid	terrified	Pourquoi cette zone vous frappe-t-elle? Il doit y avoir quelque chose qui ne va pas.	Tu cherches en eux une réassurance, mais ils confirment ton incertitude. Quelque chose ne va pas.					
afraid	petrified	Il n'y a pas de mouvement là. Les murs sont comme de la roche gelée, mais il n'est pas clair où ils commencent ou finissent.	Pourquoi sont-ils sans visage ? Tu essaies de t'éloigner mais tu ne peux pas. Ils se rapprochent.					
afraid	paranoid	La zone est trop bruyante. Vous devez changer de focus. Vous essayez de suivre l'un des multiples chemins, vers une zone plus calme de votre corps. Il vous ramène toujours au même endroit. À chaque fois.	La personne pointe quelque chose derrière toi. Tu te retournes et regardes. Il n'y a rien. Tu te retournes. Ils sont partis. Tu peux encore entendre leur voix.					
hurt	aching	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
hurt	miffed	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
hurt	withdrawn	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
hurt	slighted	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
hurt	pained	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
hurt	rejected	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
hurt	insulted	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
hurt	distant	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
hurt	crushed	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
hurt	indignant	Ressentez cette zone se dissoudre. La sensation, avec le monde qui vous entoure, devient de plus en plus vague.	Imagine-les bouger leurs lèvres sans qu'aucun son ne sorte de leur bouche.					
sad	tearful	Vous n'osez pas enquêter trop sur la zone. Tout ce qui entre court le risque de disparaître pour toujours. Un trou noir profond. En plein milieu.	Ressens comme tu as besoin qu'ils restent. Comme tu veux qu'ils te tiennent la main.					
sad	remorseful	Il y a une lueur chaude et accueillante. Vous essayez d'y mettre votre main, mais il y a une membrane épaisse et transparente qui ne vous laisse pas passer. Vous regardez de loin. N'y a-t-il vraiment aucun moyen d'entrer?	Es-tu sûr que c'est vraiment eux ? Tu ne peux pas voir leur visage. Tu essaies de t'approcher mais c'est comme si une force inconnue les éloignait constamment de toi. Tu sens des effluves de leur odeur. Ou est-ce de la moisissure ? Tu t'effondres. Ils flottent au-dessus de toi. Comme un brouillard dense et lourd.					
sad	sullen	Une douleur profonde là-bas, suivant les contours de vos organes alors qu'elle remonte. Vous penchez la tête, la poussant vers le bas tout en détournant le regard.	Si tu courais pour les embrasser, ils disparaîtraient. Tu le sais juste. Alors tu restes là. Luttant contre l'envie.					
sad	fragile	Ressentez cette zone trembler de manière douce et rapide. Si le rythme est perturbé, vous vous disperserez.	Ressens comme tu as besoin qu'ils restent. Comme tu veux qu'ils te tiennent la main.					
sad	wistful	Une douleur profonde là-bas, suivant les contours de vos organes alors qu'elle remonte. Vous penchez la tête, la poussant vers le bas tout en détournant le regard.	Les vois-tu agiter la main, puis s'épuiser, et finalement se laisser distraire par tout le monde autour d'eux.					
sad	sorrowful	Ressentez cette zone trembler de manière douce et rapide. Si le rythme est perturbé, vous vous disperserez.	Les vois-tu agiter la main, puis s'épuiser, et finalement se laisser distraire par tout le monde autour d'eux.					
sad	unhappy	Ressentez cette zone trembler de manière douce et rapide. Si le rythme est perturbé, vous vous disperserez.	L'eau tumultueuse est partout. Ils s'éloignent. Fais quelque chose ! Attrape-les ! Tu peux à peine les voir mais tu les entends toujours crier après toi.					
sad	mournful	Vous n'osez pas enquêter trop sur la zone. Tout ce qui entre court le risque de disparaître pour toujours. Un trou noir profond. En plein milieu.	Es-tu sûr que c'est vraiment eux ? Tu ne peux pas voir leur visage. Tu essaies de t'approcher mais c'est comme si une force inconnue les éloignait constamment de toi. Tu sens des effluves de leur odeur. Ou est-ce de la moisissure ? Tu t'effondres. Ils flottent au-dessus de toi. Comme un brouillard dense et lourd.					
sad	nostalgic	Il y a une lueur chaude et accueillante. Vous essayez d'y mettre votre main, mais il y a une membrane épaisse et transparente qui ne vous laisse pas passer. Vous regardez de loin. N'y a-t-il vraiment aucun moyen d'entrer?	Si tu courais pour les embrasser, ils disparaîtraient. Tu le sais juste. Alors tu restes là. Luttant contre l'envie.					
sad	melancholy	Une douleur profonde là-bas, suivant les contours de vos organes alors qu'elle remonte. Vous penchez la tête, la poussant vers le bas tout en détournant le regard.	Les vois-tu agiter la main, puis s'épuiser, et finalement se laisser distraire par tout le monde autour d'eux.					
sad	anguished	Toute la zone se transforme en liquide. Rien ne la retient plus ensemble.	Es-tu sûr que c'est vraiment eux ? Tu ne peux pas voir leur visage. Tu essaies de t'approcher mais c'est comme si une force inconnue les éloignait constamment de toi. Tu sens des effluves de leur odeur. Ou est-ce de la moisissure ? Tu t'effondres. Ils flottent au-dessus de toi. Comme un brouillard dense et lourd.					
sad	devastated	Toute la zone se transforme en liquide. Rien ne la retient plus ensemble.	L'eau tumultueuse est partout. Ils s'éloignent. Fais quelque chose ! Attrape-les ! Tu peux à peine les voir mais tu les entends toujours crier après toi.					
judgemental	serious	Ressentez l'immobilité là-bas. Il y a une absence de jeu, mais il n'y a rien de lourd à ce sujet.	Il y a quelque chose d'important que tu as besoin qu'ils sachent. Transmets-leur l'essentiel sans utiliser de mots.					
judgemental	stern	Ressentez l'immobilité là-bas. Il y a une absence de jeu, mais il n'y a rien de lourd à ce sujet.	Ressens comme ils font mal. Chaque petit mouvement. Même l'intention de bouger. Tu pourrais faire mieux.					
judgemental	judgmental	Ressentez comment des parties de cette zone ont commencé à pourrir. L'odeur rend difficile la perception d'autres parties de votre corps. Ressentez comment elle se propage lentement.	Ressens comme ils font mal. Chaque petit mouvement. Même l'intention de bouger. Tu pourrais faire mieux.					
judgemental	proud	Ressentez comment des parties de cette zone ont commencé à pourrir. L'odeur rend difficile la perception d'autres parties de votre corps. Ressentez comment elle se propage lentement.	Imagine-les te piquer, te sonder. Tu ripostes. Comment les atteindre ?					
judgemental	combative	Ressentez cette zone se remplir de goudron noir bouillonnant. Laissez-le déborder.	Imagine-les te piquer, te sonder. Tu ripostes. Comment les atteindre ?					
open	satisfied	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
open	interested	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
open	confident	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
open	receptive	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
open	accepting	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
open	present	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
open	empathetic	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
open	friendly	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
open	open	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
open	free	Concentrez-vous sur le mouvement dans cette zone. Il ne cause pas d'ondulations. Les détails sont solennels. Le temps est sans importance.	Regarde profondément dans les yeux de cette personne. Ressens tout ce que leurs yeux te disent.					
loving	sensitive	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	attracted	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	humble	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	loving	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	tender	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	warm	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	gracious	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	kindly	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	grateful	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	devoted	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
loving	passionate	Imaginez une pulsation lente et chaleureuse dans cette zone. Cela apporte une sensation de sécurité.	Imagine rayonner exactement ce dont ils ont besoin pour se sentir aimés et en sécurité. Ressens leur amour se refléter en toi.					
happy	thankful	Ressentez cette zone se détendre de plus en plus. Au fur et à mesure qu'elle se détend, sentez comment elle devient une source d'énergie pour le reste de votre corps.	Sache que tu ne serais pas là si ce n'était pas pour eux.					
happy	satisfied	Imaginez que cette zone soit remplie d'une lumière blanche forte mais agréable. La lumière se propage au reste de votre corps. Elle élimine vos sens externes tout en procurant des orgasmes à vos sens internes.	Sache que tu ne serais pas là si ce n'était pas pour eux.					
happy	glad	Imaginez que cette zone soit remplie d'une lumière blanche forte mais agréable. La lumière se propage au reste de votre corps. Elle élimine vos sens externes tout en procurant des orgasmes à vos sens internes.	Sache que tu ne serais pas là si ce n'était pas pour eux.					
happy	cheerful	Imaginez que cette zone soit remplie d'une lumière blanche forte mais agréable. La lumière se propage au reste de votre corps. Elle élimine vos sens externes tout en procurant des orgasmes à vos sens internes.	Sache que tu ne serais pas là si ce n'était pas pour eux.					
happy	mellow	Imaginez que cette zone soit remplie d'une lumière blanche forte mais agréable. La lumière se propage au reste de votre corps. Elle élimine vos sens externes tout en procurant des orgasmes à vos sens internes.	Sache que tu ne serais pas là si ce n'était pas pour eux.					
happy	happy	Imaginez que cette zone soit remplie d'une lumière blanche forte mais agréable. La lumière se propage au reste de votre corps. Elle élimine vos sens externes tout en procurant des orgasmes à vos sens internes.	Sache que tu ne serais pas là si ce n'était pas pour eux.					
happy	delighted	Imaginez que cette zone soit remplie d'une lumière blanche forte mais agréable. La lumière se propage au reste de votre corps. Elle élimine vos sens externes tout en procurant des orgasmes à vos sens internes.	Sache que tu ne serais pas là si ce n'était pas pour eux.					
happy	gleeful	Imaginez que cette zone soit remplie d'une lumière blanche forte mais agréable. La lumière se propage au reste de votre corps. Elle élimine vos sens externes tout en procurant des orgasmes à vos sens internes.	Sache que tu ne serais pas là si ce n'était pas pour eux.					
happy	jovial	Imaginez que cette zone soit remplie d'une lumière blanche forte mais agréable. La lumière se propage au reste de votre corps. Elle élimine vos sens externes tout en procurant des orgasmes à vos sens internes.	Sache que tu ne serais pas là si ce n'était pas pour eux.					
happy	blissful	Imaginez que cette zone soit remplie d'une lumière blanche forte mais agréable. La lumière se propage au reste de votre corps. Elle élimine vos sens externes tout en procurant des orgasmes à vos sens internes.	Ils rendent la lumière blanche dans ton corps encore plus brillante. Tu ne peux pas entendre ce qu'ils disent, mais tu ne peux pas t'empêcher de sourire.					
happy	joyous	Ressentez cette zone se détendre de plus en plus. Au fur et à mesure qu'elle se détend, sentez comment elle devient une source d'énergie pour le reste de votre corps.	Ils rendent la lumière blanche dans ton corps encore plus brillante. Tu ne peux pas entendre ce qu'ils disent, mais tu ne peux pas t'empêcher de sourire.					
happy	overjoyed	Ressentez cette zone se détendre de plus en plus. Au fur et à mesure qu'elle se détend, sentez comment elle devient une source d'énergie pour le reste de votre corps.	Ils rendent la lumière blanche dans ton corps encore plus brillante. Tu ne peux pas entendre ce qu'ils disent, mais tu ne peux pas t'empêcher de sourire.					
happy	ecstatic	Ressentez cette zone se détendre de plus en plus. Au fur et à mesure qu'elle se détend, sentez comment elle devient une source d'énergie pour le reste de votre corps.	Ils rendent la lumière blanche dans ton corps encore plus brillante. Tu ne peux pas entendre ce qu'ils disent, mais tu ne peux pas t'empêcher de sourire.					
happy	elated	Ressentez cette zone se détendre de plus en plus. Au fur et à mesure qu'elle se détend, sentez comment elle devient une source d'énergie pour le reste de votre corps.	Ils rendent la lumière blanche dans ton corps encore plus brillante. Tu ne peux pas entendre ce qu'ils disent, mais tu ne peux pas t'empêcher de sourire.					
